marketyear, marketquarter, marketquartersales, marketquartercount, marketofstores
2021,1,317551610,26430,11.96
2021,2,341173920,29510,12.16
2021,3,338918520,29130,12.26
2021,4,344437470,29640,12.32
2020,1,214158120,19430,4.47
2020,2,214835960,19730,4.51
2020,3,209461720,19130,4.51
2020,4,188807840,16870,4.46
2019,1,247105780,22870,3.73
2019,2,247886720,24290,3.77
2019,3,253382630,25050,3.78
2019,4,260873690,24240,4.02
2018,1,263677540,23580,3.62
2018,2,285333470,26290,3.62
2018,3,292707400,27180,3.64
2018,4,291792930,25960,3.59
2017,1,272508350,24730,3.47
2017,2,287932290,27350,3.53
2017,3,280344060,26950,3.58
2017,4,272660180,24640,3.63
2016,1,244306720,21660,3.32
2016,2,242503880,22580,3.36
2016,3,259075440,24210,3.4
2016,4,281764070,25300,3.41
2015,1,233894460,20610,3.33
2015,2,230127590,21560,3.31
2015,3,228407170,21740,3.31
2015,4,246340450,21880,3.33
2014,1,212997510,18110,3.34
2014,2,220173640,19740,3.39
2014,3,226181450,20380,3.37
2014,4,242263810,21250,3.34
